英語,日本語
"hey, little fellow, are you showing us the way or just getting us more lost?","道案內をしてくれてるのか, 迷いこませる氣なのか."
what is a whitopia?,ホワイトピア(白人理想郷)って何でしょう?
thanks for the ticket.,チケット ありがとう
"how true, how true.",ねえホント ホント
i don't even want to ask.,なにしてるの?
"no! no, no, no. she's all gone.",いや もう安心
and we did.,だから やりました
i'm going to take sai to the hospital.,あの木の野郎 九尾のチャクラを吸ってやがる!
your cell phone.,電話はどこ?
"hey, we should get going.",おい もう行った方がいい
"you have the nyoibou, do you not?",ほえるな。 貴様ら どうせ 負け犬だ。
we work to promote healthy vibrant societies,私たちは 社会の活力を高め
"the bagura army wants the code crown, even if it means killing all of the digimon who live here!",バグラ軍のやつら 島のデジモンたちを 皆殺しにしてでも
first of all why did you even take off your clothes?!,大体 何で服を脱ぐの!?
and they support them around the diagnosis,薬の正しい服用の仕方
which is usually having vaginal intercourse,通常それは膣性交で —
your kid tried to hang himself and my kid needs help?,息子が首つったからって 俺の子が異常だって?
"you'll stay in touch, dr. oldman.",連絡のとれる所にいてください オールドマン先生
his name is raymond reddington.,名前は レイモンド・レディントン
lock that transmision.,通信装置無効にしろ
and never join us to drink.,違う違う。 旦那と けんかしてん。
that may even be why your father and i met by chance.,パパとママは そのために 出会ったのかもしれない
it is enlightened selfinterest for us to work with other countries.,他国と協力することは 賢明な自己の利益の為の行為でもあり
